Fecha,Comuna,Casos Confirmados,CUT
31-03-2020,Salamanca,2,04204
31-03-2020,Vicuña,0,04106
31-03-2020,Algarrobo,7,05602
31-03-2020,Cabildo,0,05402
31-03-2020,La Calera,6,05502
31-03-2020,Calle Larga,0,05302
31-03-2020,Cartagena,0,05603
31-03-2020,Casablanca,1,05102
31-03-2020,Catemu,0,05702
31-03-2020,Concón,1,05103
31-03-2020,El Quisco,0,05604
31-03-2020,El Tabo,1,05605
31-03-2020,Hijuelas,0,05503
31-03-2020,Isla de Pascua,5,05201
31-03-2020,Juan Fernández,0,05104
31-03-2020,La Cruz,1,05504
31-03-2020,La Ligua,2,05401
31-03-2020,Limache,3,05802
31-03-2020,Llaillay,0,05703
31-03-2020,Los Andes,3,05301
31-03-2020,Nogales,0,05506
31-03-2020,Olmué,0,05803
31-03-2020,Panquehue,0,05704
31-03-2020,Papudo,0,05403
31-03-2020,Petorca,1,05404
31-03-2020,Puchuncaví,0,05105
31-03-2020,Putaendo,1,05705
31-03-2020,Quillota,7,05501
31-03-2020,Quilpué,10,05801
31-03-2020,Quintero,3,05107
31-03-2020,Rinconada,0,05303
31-03-2020,San Antonio,4,05601
31-03-2020,San Esteban,0,05304
31-03-2020,San Felipe,3,05701
31-03-2020,Santa María,2,05706
31-03-2020,Santo Domingo,3,05606
31-03-2020,Valparaíso,26,05101
31-03-2020,Villa Alemana,8,05804
31-03-2020,Viña del Mar,38,05109
31-03-2020,Zapallar,0,05405
31-03-2020,Alhué,0,13502
31-03-2020,Buin,8,13402
31-03-2020,Calera de Tango,7,13403
31-03-2020,Cerrillos,4,13102
31-03-2020,Cerro Navia,21,13103
31-03-2020,Colina,39,13301
31-03-2020,Conchalí,18,13104
31-03-2020,Curacaví,5,13503
31-03-2020,El Bosque,28,13105
31-03-2020,El Monte,1,13602
31-03-2020,Estación Central,22,13106
31-03-2020,Huechuraba,19,13107
31-03-2020,Independencia,17,13108
31-03-2020,Isla de Maipo,1,13603
31-03-2020,La Cisterna,12,13109
31-03-2020,La Florida,58,13110
31-03-2020,La Granja,8,13111
31-03-2020,La Pintana,10,13112
31-03-2020,La Reina,26,13113
31-03-2020,Lampa,10,13302
31-03-2020,Las Condes,208,13114
31-03-2020,Lo Barnechea,78,13115
31-03-2020,Lo Espejo,7,13116
31-03-2020,Lo Prado,18,13117
31-03-2020,Macul,15,13118
31-03-2020,Maipú,55,13119
31-03-2020,María Pinto,0,13504
31-03-2020,Melipilla,8,13501
31-03-2020,Ñuñoa,84,13120
31-03-2020,Padre Hurtado,11,13604
31-03-2020,Paine,3,13404
31-03-2020,Pedro Aguirre Cerda,13,13121
31-03-2020,Peñaflor,13,13605
31-03-2020,Peñalolén,46,13122
31-03-2020,Pirque,2,13202
31-03-2020,Providencia,87,13123
31-03-2020,Pudahuel,25,13124
31-03-2020,Puente Alto,58,13201
31-03-2020,Quilicura,29,13125
31-03-2020,Quinta Normal,25,13126
31-03-2020,Recoleta,23,13127
31-03-2020,Renca,14,13128
31-03-2020,San Bernardo,41,13401
31-03-2020,San Joaquín,24,13129
31-03-2020,San José de Maipo,2,13203
31-03-2020,San Miguel,32,13130
31-03-2020,San Pedro,0,13505
31-03-2020,San Ramón,6,13131
31-03-2020,Santiago,156,13101
31-03-2020,Talagante,5,13601
31-03-2020,Til Til,2,13303
31-03-2020,Vitacura,90,13132
31-03-2020,Chépica,0,06302
31-03-2020,Chimbarongo,2,06303
31-03-2020,Codegua,0,06102
31-03-2020,Coinco,0,06103
31-03-2020,Coltauco,0,06104
31-03-2020,Doñihue,0,06105
31-03-2020,Graneros,0,06106
31-03-2020,La Estrella,0,06202
31-03-2020,Las Cabras,0,06107
31-03-2020,Litueche,0,06203
31-03-2020,Lolol,0,06304
31-03-2020,Machalí,6,06108
31-03-2020,Malloa,0,06109
31-03-2020,Marchihue,0,06204
31-03-2020,Mostazal,0,06110
31-03-2020,Nancagua,0,06305
31-03-2020,Navidad,0,06205
31-03-2020,Olivar,1,06111
31-03-2020,Palmilla,0,06306
