Fecha,CUT,Region,Comuna,Casos Confirmados
01-04-2020,5404,VS,Petorca,1
01-04-2020,5105,VS,Puchuncaví,0
01-04-2020,5705,VS,Putaendo,1
01-04-2020,5501,VS,Quillota,7
01-04-2020,5801,VS,Quilpué,10
01-04-2020,5107,VS,Quintero,3
01-04-2020,5303,VS,Rinconada,0
01-04-2020,5601,VS,San Antonio,4
01-04-2020,5304,VS,San Esteban,0
01-04-2020,5701,VS,San Felipe,3
01-04-2020,5706,VS,Santa María,2
01-04-2020,5606,VS,Santo Domingo,3
01-04-2020,5101,VS,Valparaíso,26
01-04-2020,5804,VS,Villa Alemana,8
01-04-2020,5109,VS,Viña del Mar,38
01-04-2020,5405,VS,Zapallar,0
01-04-2020,13502,RM,Alhué,0
01-04-2020,13402,RM,Buin,8
01-04-2020,13403,RM,Calera de Tango,7
01-04-2020,13102,RM,Cerrillos,4
01-04-2020,13103,RM,Cerro Navia,21
01-04-2020,13301,RM,Colina,39
01-04-2020,13104,RM,Conchalí,18
01-04-2020,13503,RM,Curacaví,5
01-04-2020,13105,RM,El Bosque,28
01-04-2020,13602,RM,El Monte,1
01-04-2020,13106,RM,Estación Central,22
01-04-2020,13107,RM,Huechuraba,19
01-04-2020,13108,RM,Independencia,17
01-04-2020,13603,RM,Isla de Maipo,1
01-04-2020,13109,RM,La Cisterna,12
01-04-2020,13110,RM,La Florida,58
01-04-2020,13111,RM,La Granja,8
01-04-2020,13112,RM,La Pintana,10
01-04-2020,13113,RM,La Reina,26
01-04-2020,13302,RM,Lampa,10
01-04-2020,13114,RM,Las Condes,208
01-04-2020,13115,RM,Lo Barnechea,78
01-04-2020,13116,RM,Lo Espejo,7
01-04-2020,13117,RM,Lo Prado,18
01-04-2020,13118,RM,Macul,15
01-04-2020,13119,RM,Maipú,55
01-04-2020,13504,RM,María Pinto,0
01-04-2020,13501,RM,Melipilla,8
01-04-2020,13120,RM,Ñuñoa,84
01-04-2020,13604,RM,Padre Hurtado,11
01-04-2020,13404,RM,Paine,3
01-04-2020,13121,RM,Pedro Aguirre Cerda,13
01-04-2020,13605,RM,Peñaflor,13
01-04-2020,13122,RM,Peñalolén,46
01-04-2020,13202,RM,Pirque,2
01-04-2020,13123,RM,Providencia,87
01-04-2020,13124,RM,Pudahuel,25
01-04-2020,13201,RM,Puente Alto,58
01-04-2020,13125,RM,Quilicura,29
01-04-2020,13126,RM,Quinta Normal,25
01-04-2020,13127,RM,Recoleta,23
01-04-2020,13128,RM,Renca,14
01-04-2020,13401,RM,San Bernardo,41
01-04-2020,13129,RM,San Joaquín,24
01-04-2020,13203,RM,San José de Maipo,2
01-04-2020,13130,RM,San Miguel,32
01-04-2020,13505,RM,San Pedro,0
01-04-2020,13131,RM,San Ramón,6
01-04-2020,13101,RM,Santiago,156
01-04-2020,13601,RM,Talagante,5
01-04-2020,13303,RM,Til Til,2
01-04-2020,13132,RM,Vitacura,90
01-04-2020,6302,LI,Chépica,0
01-04-2020,6303,LI,Chimbarongo,2
01-04-2020,6102,LI,Codegua,0
01-04-2020,6103,LI,Coinco,0
01-04-2020,6104,LI,Coltauco,0
01-04-2020,6105,LI,Doñihue,0
01-04-2020,6106,LI,Graneros,0
01-04-2020,6202,LI,La Estrella,0
01-04-2020,6107,LI,Las Cabras,0
01-04-2020,6203,LI,Litueche,0
01-04-2020,6304,LI,Lolol,0
01-04-2020,6108,LI,Machalí,6
01-04-2020,6109,LI,Malloa,0
01-04-2020,6204,LI,Marchihue,0
01-04-2020,6110,LI,Mostazal,0
01-04-2020,6305,LI,Nancagua,0
01-04-2020,6205,LI,Navidad,0
01-04-2020,6111,LI,Olivar,1
01-04-2020,6306,LI,Palmilla,0
01-04-2020,6206,LI,Paredones,0
01-04-2020,6307,LI,Peralillo,0
01-04-2020,6112,LI,Peumo,0
01-04-2020,6113,LI,Pichidegua,0
01-04-2020,6201,LI,Pichilemu,0
01-04-2020,6308,LI,Placilla,1
01-04-2020,6309,LI,Pumanque,0
01-04-2020,6114,LI,Quinta de Tilcoco,2
01-04-2020,6101,LI,Rancagua,7
01-04-2020,6115,LI,Rengo,1
01-04-2020,6116,LI,Requínoa,1
01-04-2020,6301,LI,San Fernando,4
01-04-2020,6117,LI,San Vicente,1
01-04-2020,6310,LI,Santa Cruz,0
01-04-2020,7201,ML,Cauquenes,1
01-04-2020,7202,ML,Chanco,0
01-04-2020,7402,ML,Colbún,4
01-04-2020,7102,ML,Constitución,1
01-04-2020,7103,ML,Curepto,0
01-04-2020,7301,ML,Curicó,8
01-04-2020,7104,ML,Empedrado,0
01-04-2020,7302,ML,Hualañé,0
01-04-2020,7303,ML,Licantén,0
01-04-2020,7401,ML,Linares,6
01-04-2020,7403,ML,Longaví,1
01-04-2020,7105,ML,Maule,2
01-04-2020,7304,ML,Molina,3
01-04-2020,7404,ML,Parral,3
01-04-2020,7106,ML,Pelarco,0
01-04-2020,7203,ML,Pelluhue,1
01-04-2020,7107,ML,Pencahue,0
01-04-2020,7305,ML,Rauco,0
01-04-2020,7405,ML,Retiro,0
01-04-2020,7108,ML,Río Claro,1
01-04-2020,7306,ML,Romeral,2
01-04-2020,7307,ML,Sagrada Familia,0
01-04-2020,7109,ML,San Clemente,0
01-04-2020,7406,ML,San Javier,1
01-04-2020,7110,ML,San Rafael,0
01-04-2020,7101,ML,Talca,37
01-04-2020,7308,ML,Teno,0
01-04-2020,7309,ML,Vichuquén,0
01-04-2020,7407,ML,Villa Alegre,0
01-04-2020,7408,ML,Yerbas Buenas,0
01-04-2020,16102,NB,Bulnes,18
01-04-2020,16101,NB,Chillán,173
01-04-2020,16103,NB,Chillán Viejo,22
01-04-2020,16202,NB,Cobquecura,0
01-04-2020,16203,NB,Coelemu,1
01-04-2020,16302,NB,Coihueco,3
01-04-2020,16104,NB,El Carmen,2
01-04-2020,16204,NB,Ninhue,0
01-04-2020,16303,NB,Ñiquén,0
01-04-2020,16105,NB,Pemuco,0
01-04-2020,16106,NB,Pinto,2
01-04-2020,16205,NB,Portezuelo,0
01-04-2020,16107,NB,Quillón,7
01-04-2020,16201,NB,Quirihue,0
01-04-2020,16206,NB,Ránquil,1
01-04-2020,16301,NB,San Carlos,13
01-04-2020,16304,NB,San Fabián,5
01-04-2020,16108,NB,San Ignacio,1
01-04-2020,16305,NB,San Nicolás,2
01-04-2020,16207,NB,Treguaco,0
01-04-2020,16109,NB,Yungay,7
01-04-2020,8314,BI,Alto Biobío,0
01-04-2020,8302,BI,Antuco,0
01-04-2020,8202,BI,Arauco,5
01-04-2020,8303,BI,Cabrero,0
01-04-2020,8203,BI,Cañete,0
01-04-2020,8103,BI,Chiguayante,18
01-04-2020,8101,BI,Concepción,47
01-04-2020,8204,BI,Contulmo,0
01-04-2020,8102,BI,Coronel,11
01-04-2020,8205,BI,Curanilahue,1
01-04-2020,8104,BI,Florida,0
01-04-2020,8112,BI,Hualpén,39
01-04-2020,8105,BI,Hualqui,3
01-04-2020,8304,BI,Laja,2
01-04-2020,8201,BI,Lebu,0
01-04-2020,8206,BI,Los Álamos,0
01-04-2020,8301,BI,Los Ángeles,15
01-04-2020,8106,BI,Lota,0
01-04-2020,8305,BI,Mulchén,5
01-04-2020,8306,BI,Nacimiento,2
01-04-2020,8307,BI,Negrete,0
01-04-2020,8107,BI,Penco,1
01-04-2020,8308,BI,Quilaco,0
01-04-2020,8309,BI,Quilleco,0
01-04-2020,8108,BI,San Pedro de la Paz,50
01-04-2020,8310,BI,San Rosendo,0
01-04-2020,8311,BI,Santa Bárbara,2
01-04-2020,8109,BI,Santa Juana,0
01-04-2020,8110,BI,Talcahuano,23
01-04-2020,8207,BI,Tirúa,0
01-04-2020,8111,BI,Tomé,6
01-04-2020,8312,BI,Tucapel,0
01-04-2020,8313,BI,Yumbel,5
01-04-2020,9201,AR,Angol,13
01-04-2020,9102,AR,Carahue,2
01-04-2020,9121,AR,Cholchol,2
01-04-2020,9202,AR,Collipulli,0
01-04-2020,9103,AR,Cunco,0
01-04-2020,9203,AR,Curacautín,0
01-04-2020,9104,AR,Curarrehue,2
01-04-2020,9204,AR,Ercilla,0
01-04-2020,9105,AR,Freire,2
01-04-2020,9106,AR,Galvarino,1
01-04-2020,9107,AR,Gorbea,6
01-04-2020,9108,AR,Lautaro,8
01-04-2020,9109,AR,Loncoche,2
01-04-2020,9205,AR,Lonquimay,0
01-04-2020,9206,AR,Los Sauces,0
