CUT (Código Único Territorial),Nombre,Provincia,,Superficie,Población,Densidad,IDH 2005,IDH Categoria,Lat,Lon
6310,Santa Cruz,Colchagua,O’Higgins,419.5,37855,90.2,0.719,Alto,-34.631,-71.359
7101,Talca,Talca,Maule,232,220357,949.8,0.731,Alto,-35.423,-71.657
7102,Constitución,Talca,Maule,1344,46068,34.3,0.715,Alto,-35.339,-72.414
7103,Curepto,Talca,Maule,1073.8,9448,8.8,0.644,Medio,-35.083,-72.017
7104,Empedrado,Talca,Maule,565,4142,7.33,0.637,Medio,-35.591,-72.273
7105,Maule,Talca,Maule,190,49721,261.7,0.681,Medio,-35.516,-71.572
7106,Pelarco,Talca,Maule,332,8422,25.4,0.653,Medio,-35.378,-71.445
7107,Pencahue,Talca,Maule,956.8,8245,8.62,0.649,Medio,-35.391,-71.8
7108,Río Claro,Talca,Maule,431,13906,32.3,0.671,Medio,-35.217,-71.25
7109,San Clemente,Talca,Maule,4504,43269,9.61,0.659,Medio,-35.534,-71.486
7110,San Rafael,Talca,Maule,263.5,9191,34.9,0.629,Medio,-35.317,-71.533
7201,Cauquenes,Cauquenes,Maule,2216,40441,18.3,0.656,Medio,-35.964,-72.317
7202,Chanco,Cauquenes,Maule,530,8928,16.9,0.612,Medio,-35.729,-72.53
7203,Pelluhue,Cauquenes,Maule,371,7571,20.4,0.694,Medio,-35.814,-72.574
7301,Curicó,Curicó,Maule,1328,149136,112.3,0.71,Alto,-34.976,-71.224
7302,Hualañé,Curicó,Maule,629,9657,15.4,0.631,Medio,-34.983,-71.817
7303,Licantén,Curicó,Maule,273,6653,24.4,0.705,Alto,-34.983,-72
7304,Molina,Curicó,Maule,1552,45976,29.6,0.663,Medio,-35.09,-71.279
7305,Rauco,Curicó,Maule,309,10484,33.9,0.659,Medio,-34.929,-71.311
7306,Romeral,Curicó,Maule,1597,15187,9.51,0.668,Medio,-34.967,-71.133
7307,Sagrada Familia,Curicó,Maule,548.8,18544,33.8,0.672,Medio,-35,-71.383
7308,Teno,Curicó,Maule,618.4,28921,46.8,0.648,Medio,-34.873,-71.162
7309,Vichuquén,Curicó,Maule,426,4322,10.2,0.678,Medio,-34.823,-72.035
7401,Linares,Linares,Maule,1466,93602,63.9,0.71,Alto,-35.85,-71.585
7402,Colbún,Linares,Maule,2899.9,20765,7.16,0.638,Medio,-35.7,-71.417
7403,Longaví,Linares,Maule,1454,30534,21,0.626,Medio,-35.966,-71.682
7404,Parral,Linares,Maule,1638,41637,25.4,0.656,Medio,-36.147,-71.822
7405,Retiro,Linares,Maule,827,19974,24.2,0.649,Medio,-36.046,-71.759
7406,San Javier,Linares,Maule,1313,45547,34.7,0.654,Medio,-35.05,-71.467
7407,Villa Alegre,Linares,Maule,190,16221,85.4,0.648,Medio,-35.665,-71.742
7408,Yerbas Buenas,Linares,Maule,262,18081,69,0.64,Medio,-35.75,-71.583
16101,Chillán,Diguillín,Ñuble,511.2,184739,361.4,0.714,Alto,-36.601,-72.109
16102,Bulnes,Diguillín,Ñuble,425.4,21493,50.5,0.626,Medio,-36.739,-72.292
16103,Chillán Viejo,Diguillín,Ñuble,291.8,30907,105.9,0.732,Alto,-36.633,-72.14
16104,El Carmen,Diguillín,Ñuble,664.3,12044,18.1,0.611,Medio,-36.9,-72.033
16105,Pemuco,Diguillín,Ñuble,562.7,8448,15,0.631,Medio,-36.978,-72.091
16106,Pinto,Diguillín,Ñuble,1164,10827,9.3,0.618,Medio,-36.7,-71.9
16107,Quillón,Diguillín,Ñuble,423,17485,41.3,0.59,Medio,-36.738,-72.469
16108,San Ignacio,Diguillín,Ñuble,363.6,16079,44.2,0.618,Medio,-36.8,-72.033
16109,Yungay,Diguillín,Ñuble,823.5,17787,21.6,0.669,Medio,-37.104,-71.931
16201,Quirihue,Itata,Ñuble,589,11594,19.7,0.594,Medio,-36.281,-72.545
16202,Cobquecura,Itata,Ñuble,570.3,5012,8.79,0.633,Medio,-36.133,-72.783
16203,Coelemu,Itata,Ñuble,342.3,15995,46.7,0.611,Medio,-36.485,-72.694
16204,Ninhue,Itata,Ñuble,401.2,5213,13,0.569,Bajo medio,-36.401,-72.397
16205,Portezuelo,Itata,Ñuble,282.3,4862,17.2,0.599,Medio,-36.533,-72.433
16206,Ránquil,Itata,Ñuble,248.3,5755,23.2,0.586,Bajo alto,-36.65,-72.55
16207,Treguaco,Itata,Ñuble,313.1,5401,17.3,0.562,Bajo medio,-36.429,-72.665
16301,San Carlos,Punilla,Ñuble,874,53024,60.7,0.653,Medio,-36.422,-71.959
16302,Coihueco,Punilla,Ñuble,1776.6,26881,15.1,0.639,Medio,-35.783,-72.433
16303,Ñiquén,Punilla,Ñuble,493.1,11152,22.6,0.629,Medio,-36.287,-71.899
16304,San Fabián,Punilla,Ñuble,1568.3,4308,2.75,0.618,Medio,-36.554,-71.549
16305,San Nicolás,Punilla,Ñuble,490.5,11603,23.7,0.625,Medio,-36.883,-72.483
8101,Concepción,Concepción,Biobío,221.6,223574,1008.9,0.757,Alto,-36.815,-73.029
8102,Coronel,Concepción,Biobío,279.4,116262,416.1,0.682,Medio,-36.982,-73.157
8103,Chiguayante,Concepción,Biobío,71.5,85938,1201.9,0.764,Alto,-36.909,-73.028
8104,Florida,Concepción,Biobío,608.6,10624,17.5,0.604,Medio,-36.821,-72.662
8105,Hualqui,Concepción,Biobío,530.5,24333,589.2,0.666,Medio,-36.967,-72.933
8106,Lota,Concepción,Biobío,135.8,43535,320.6,0.643,Medio,-37.089,-73.155
8107,Penco,Concepción,Biobío,107.6,47367,440.2,0.689,Medio,-36.742,-72.998
8108,San Pedro de La Paz,Concepción,Biobío,112.5,131808,1171.6,0.787,Alto,-36.864,-73.108
8109,Santa Juana,Concepción,Biobío,731.2,13749,18.8,0.626,Medio,-37.179,-72.935
8110,Talcahuano,Concepción,Biobío,92.3,151749,1644.1,0.731,Alto,-36.736,-73.105
8111,Tomé,Concepción,Biobío,494.5,54946,111.1,0.668,Medio,-36.624,-72.95
8112,Hualpén,Concepción,Biobío,53.5,91773,1715.4,,Medio,-36.789,-73.11
8201,Lebu,Arauco,Biobío,561.4,25522,45.5,0.633,Medio,-37.606,-73.643
8202,Arauco,Arauco,Biobío,956.1,36257,37.9,0.704,Alto,-37.257,-73.284
8203,Cañete,Arauco,Biobío,1089.2,34537,31.7,0.641,Medio,-35.283,-72.233
8204,Contulmo,Arauco,Biobío,638.8,6031,9.44,0.603,Medio,-38.005,-73.225
8205,Curanilahue,Arauco,Biobío,994.3,32288,32.5,0.643,Medio,-37.472,-73.348
8206,Los Álamos,Arauco,Biobío,599.1,21035,35.1,0.645,Medio,-37.621,-73.456
8207,Tirúa,Arauco,Biobío,624.4,10417,16.7,0.584,Bajo alto,-38.339,-73.484
8301,Los Ángeles,Biobío,Biobío,1748.2,202331,115.7,0.696,Medio,-36.944,-72.351
8302,Antuco,Biobío,Biobío,1884.1,4073,2.16,0.662,Medio,-37.327,-71.678
8303,Cabrero,Biobío,Biobío,639.8,28573,44.7,0.635,Medio,-37.039,-72.399
8304,Laja,Biobío,Biobío,339.8,22389,65.9,0.665,Medio,-37.267,-72.7
8305,Mulchén,Biobío,Biobío,1925.3,29627,15.4,0.639,Medio,-37.715,-72.239
8306,Nacimiento,Biobío,Biobío,934.9,26315,28.2,0.656,Medio,-37.501,-72.676
8307,Negrete,Biobío,Biobío,156.5,9737,62.2,0.629,Medio,-37.583,-72.517
8308,Quilaco,Biobío,Biobío,1123.7,3988,3.55,0.635,Medio,-37.68,-72.007
8309,Quilleco,Biobío,Biobío,1121.8,9587,8.55,0.641,Medio,-37.467,-71.967
8310,San Rosendo,Biobío,Biobío,92.4,3412,36.9,0.647,Medio,-37.258,-72.716
8311,Santa Bárbara,Biobío,Biobío,1254.9,13773,10.9,0.637,Medio,-37.663,-72.018
8312,Tucapel,Biobío,Biobío,914.9,14134,15.5,0.655,Medio,-37.633,-73.333
8313,Yumbel,Biobío,Biobío,727,21198,29.2,0.597,Bajo alto,-37.096,-72.556
8314,Alto Biobío,Biobío,Biobío,2124.6,5923,2.79,,Medio,-38.619,-71.324
9101,Temuco,Cautín,Araucanía,464,282415,608.7,0.763,Alto,-38.727,-72.599
9102,Carahue,Cautín,Araucanía,1340.6,24533,18.3,0.604,Medio,-38.707,-73.16
9103,Cunco,Cautín,Araucanía,1906.5,17526,9.19,0.659,Medio,-38.93,-72.027
9104,Curarrehue,Cautín,Araucanía,1170.7,7489,6.4,0.603,Medio,-39.359,-71.588
9105,Freire,Cautín,Araucanía,935.2,24606,26.3,0.614,Medio,-38.954,-72.622
9106,Galvarino,Cautín,Araucanía,568.2,11996,21.1,0.611,Medio,-38.4,-72.783
9107,Gorbea,Cautín,Araucanía,694.5,14414,20.8,0.644,Medio,-39.095,-72.672
9108,Lautaro,Cautín,Araucanía,901.1,38013,42.2,0.669,Medio,-38.529,-72.427
9109,Loncoche,Cautín,Araucanía,976.8,23612,24.2,0.652,Medio,-39.354,-72.628
9110,Melipeuco,Cautín,Araucanía,1107.3,6138,5.54,0.629,Medio,-38.843,-71.687
9111,Nueva Imperial,Cautín,Araucanía,732.5,32510,44.4,0.629,Medio,-38.745,-72.95
9112,Padre Las Casas,Cautín,Araucanía,400.7,76.126,190,0.662,Medio,-38.766,-72.593
9113,Perquenco,Cautín,Araucanía,330.7,6905,20.9,0.63,Medio,-38.417,-72.383
9114,Pitrufquén,Cautín,Araucanía,580.7,24837,42.8,0.663,Medio,-38.983,-72.643
9115,Pucón,Cautín,Araucanía,1248.5,28523,22.8,0.767,Alto,-39.282,-71.954
9116,Saavedra,Cautín,Araucanía,400.8,12450,31.1,0.574,Bajo medio,-38.783,-73.4
9117,Teodoro Schmidt,Cautín,Araucanía,649.9,15045,23.2,0.607,Medio,-38.967,-73.05
9118,Toltén,Cautín,Araucanía,860.4,9722,11.3,0.617,Medio,-39.217,-73.217
9119,Vilcún,Cautín,Araucanía,1420.9,28151,19.8,0.643,Medio,-38.65,-72.233
9120,Villarrica,Cautín,Araucanía,1291.1,55478,43,0.698,Medio,-39.28,-72.218
9121,Cholchol,Cautín,Araucanía,427.9,11611,27.1,,Alto,-38.6,-72.85
9201,Angol,Malleco,Araucanía,1194.4,53262,44.6,0.707,Alto,-37.803,-72.702
9202,Collipulli,Malleco,Araucanía,1295.9,24598,19,0.633,Medio,-37.953,-72.432
9203,Curacautín,Malleco,Araucanía,1664,17413,10.5,0.657,Medio,-38.432,-71.89
9204,Ercilla,Malleco,Araucanía,499.7,7733,15.5,0.609,Medio,-38.05,-72.383
9205,Lonquimay,Malleco,Araucanía,3914.2,10251,2.62,0.629,Medio,-38.433,-71.233
9206,Los Sauces,Malleco,Araucanía,849.8,7265,8.55,0.602,Medio,-37.967,-72.833
9207,Lumaco,Malleco,Araucanía,1119,9548,8.53,0.603,Medio,-38.163,-72.904
9208,Purén,Malleco,Araucanía,464.9,11779,25.3,0.594,Medio,-38.022,-73.07
9209,Renaico,Malleco,Araucanía,267.4,10250,38.3,0.615,Medio,-37.667,-72.583
9210,Traiguén,Malleco,Araucanía,908,18843,20.8,0.657,Medio,-38.248,-72.675
9211,Victoria,Malleco,Araucanía,1256,34182,27.2,0.686,Medio,-38.23,-72.343
14101,Valdivia,Valdivia,Los Ríos,1016,166080,163.5,0.754,Alto,-39.8,-73.233
14102,Corral,Valdivia,Los Ríos,767,5302,6.91,0.658,Medio,-39.867,-73.433
14103,Lanco,Valdivia,Los Ríos,532.4,16752,31.5,0.648,Medio,-39.447,-72.772
14104,Los Lagos,Valdivia,Los Ríos,1791.2,19634,11,0.658,Medio,-41.92,-72.142
14105,Máfil,Valdivia,Los Ríos,583,7095,12.2,0.655,Medio,-39.65,-72.95
14106,Mariquina,Valdivia,Los Ríos,1320.5,21278,16.1,0.653,Medio,-40.133,-72.333
14107,Paillaco,Valdivia,Los Ríos,896,20188,22.5,0.647,Medio,-40.068,-72.883
14108,Panguipulli,Valdivia,Los Ríos,3292,34539,10.5,0.627,Medio,-39.642,-72.34
14201,La Unión,Ranco,Los Ríos,2137,38036,17.8,0.687,Medio,-40.292,-73.088
14202,Futrono,Ranco,Los Ríos,2267.5,14665,6.47,0.637,Medio,-40.131,-72.396
14203,Lago Ranco,Ranco,Los Ríos,1763.3,9896,5.61,0.606,Medio,-40.317,-72.5
14204,Río Bueno,Ranco,Los Ríos,2211.7,31372,14.2,0.624,Medio,-40.338,-72.957
10101,Puerto Montt,Llanquihue,Los Lagos,1673,245902,147,0.718,Alto,-41.454,-72.993
10102,Calbuco,Llanquihue,Los Lagos,590.8,33985,57.5,0.642,Medio,-41.758,-73.151
10103,Cochamó,Llanquihue,Los Lagos,3910.8,4023,1.03,0.69,Medio,-41.5,-72.317
10104,Fresia,Llanquihue,Los Lagos,1278.1,12261,9.59,0.657,Medio,-41.153,-73.42
10105,Frutillar,Llanquihue,Los Lagos,831.4,18428,22.2,0.669,Medio,-41.117,-73.1
10106,Los Muermos,Llanquihue,Los Lagos,1245.8,17068,13.7,0.648,Medio,-41.391,-73.465
10107,Llanquihue,Llanquihue,Los Lagos,420.8,17591,41.8,0.695,Medio,-41.266,-73.012
10108,Maullín,Llanquihue,Los Lagos,860.8,14216,16.5,0.691,Medio,-41.618,-73.598
10109,Puerto Varas,Llanquihue,Los Lagos,4064.9,44578,11,0.748,Alto,-41.323,-72.97
10201,Castro,Chiloé,Los Lagos,472.5,43807,92.7,0.72,Alto,-42.478,-73.779
10202,Ancud,Chiloé,Los Lagos,1752.4,38991,22.3,0.705,Alto,-41.877,-73.814
10203,Chonchi,Chiloé,Los Lagos,1362.1,14858,10.9,0.641,Medio,-42.626,-73.781
10204,Curaco de Vélez,Chiloé,Los Lagos,80,3829,47.9,0.702,Alto,-42.434,-73.582
10205,Dalcahue,Chiloé,Los Lagos,1239.4,13762,11.1,0.69,Medio,-42.374,-73.651
10206,Puqueldón,Chiloé,Los Lagos,97.3,3921,40.3,0.628,Medio,-42.604,-73.684
10207,Queilén,Chiloé,Los Lagos,332.9,5385,16.2,0.646,Medio,-42.874,-73.47
10208,Quellón,Chiloé,Los Lagos,3244,27192,8.38,0.67,Medio,-43.121,-73.608
10209,Quemchi,Chiloé,Los Lagos,440.3,8352,19,0.656,Medio,-42.142,-73.478
10210,Quinchao,Chiloé,Los Lagos,160.7,8088,50.3,0.648,Medio,-42.479,-73.497
10301,Osorno,Osorno,Los Lagos,951,161460,169.8,0.7,Alto,-40.574,-73.126
10302,Puerto Octay,Osorno,Los Lagos,1795.7,8999,5.01,0.679,Medio,-40.967,-72.9
10303,Purranque,Osorno,Los Lagos,1458.8,20369,14,0.627,Medio,-40.909,-73.175
10304,Puyehue,Osorno,Los Lagos,1597.9,11667,7.3,0.675,Medio,-40.717,-72.321
10305,Río Negro,Osorno,Los Lagos,1265.7,14085,11.1,0.633,Medio,-41.967,-72.45
10306,San Juan de la Costa,Osorno,Los Lagos,1517,7512,4.95,0.51,Bajo,-40.501,-73.392
10307,San Pablo,Osorno,Los Lagos,637.3,10030,15.8,0.625,Medio,-40.4,-73.017
10401,Chaitén,Palena,Los Lagos,8470.5,5071,0.6,0.704,Alto,-42.899,-72.667
10402,Futaleufú,Palena,Los Lagos,1280,2623,2.05,0.665,Medio,-43.168,-71.848
10403,Hualaihué,Palena,Los Lagos,2787.7,8944,3.21,0.659,Medio,-41.992,-72.667
10404,Palena,Palena,Los Lagos,2763.7,1711,0.62,0.667,Medio,-43.623,-71.804
11101,Coyhaique,Coyhaique,Aysén,7290.2,57818,7.93,0.751,Alto,-45.564,-72.065
11102,Lago Verde,Coyhaique,Aysén,5422.3,852,0.16,0.637,Medio,-44.219,-71.839
11201,Aysén,Aysén,Aysén,29796.4,23959,0.8,0.674,Medio,-45.412,-72.698
11202,Cisnes,Aysén,Aysén,16093,6517,0.41,0.725,Alto,-44.751,-72.697
11203,Guaitecas,Aysén,Aysén,620.6,1843,2.97,0.654,Medio,-43.884,-73.95
