ID_C_AUC,NOMBRE,COD_REGION,COD_COMUNA,COMUNA,X1,Y1,X2,Y2,X3,Y3,X4,Y4
7095,Gran Concepción,8,8110,TALCAHUANO,-8133857.483084,-4408609.78305488,-8135101.86668681,-4408556.4942724,-8135048.74676568,-4407306.81454953,-8133804.50776191,-4407360.07975409
7096,Gran Concepción,8,8110,TALCAHUANO,-8132613.07597768,-4408662.92657342,-8133857.483084,-4408609.78305488,-8133804.50776191,-4407360.07975409,-8132560.24526542,-4407413.19975863
7097,Gran Concepción,8,8110,TALCAHUANO,-8131368.64543168,-4408715.92481722,-8132613.07597768,-4408662.92657342,-8132560.24526542,-4407413.19975863,-8131315.95934002,-4407466.17455237
7098,Gran Concepción,8,8110,TALCAHUANO,-8130124.19150981,-4408768.77777548,-8131368.64543168,-4408715.92481722,-8131315.95934002,-4407466.17455237,-8130071.65004949,-4407519.00412451
7099,Gran Concepción,8,8107,PENCO,-8128879.71427592,-4408821.48543744,-8130124.19150981,-4408768.77777548,-8130071.65004949,-4407519.00412451,-8128827.31745765,-4407571.68846432
7100,Gran Concepción,8,8107,PENCO,-8127635.21379383,-4408874.0477924,-8128879.71427592,-4408821.48543744,-8128827.31745765,-4407571.68846432,-8127582.96162829,-4407624.22756107
7101,San Ignacio,16,16108,SAN IGNACIO,-8019281.94595055,-4412889.59392866,-8020528.22384398,-4412849.71102518,-8020488.44857017,-4411598.13063849,-8019242.31614696,-4411637.99587478
7102,San Ignacio,16,16108,SAN IGNACIO,-8018035.65045392,-4412929.3306958,-8019281.94595055,-4412889.59392866,-8019242.31614696,-4411637.99587478,-8017996.16612866,-4411677.71503927
7103,San Ignacio,16,16108,SAN IGNACIO,-8016789.33741852,-4412968.9213185,-8018035.65045392,-4412929.3306958,-8017996.16612866,-4411677.71503927,-8016749.99857967,-4411717.28812387
7104,San Ignacio,16,16108,SAN IGNACIO,-8016789.33741852,-4412968.9213185,-8016749.99857967,-4411717.28812387,-8015503.81356439,-4411756.71512049,-8015543.00690879,-4413008.36578866
7105,San Miguel,16,16108,SAN IGNACIO,-8011803.91117801,-4413125.82220352,-8013050.29372408,-4413086.81623918,-8013011.39139261,-4411835.1308176,-8011765.15436495,-4411874.1195021
7106,San Miguel,16,16108,SAN IGNACIO,-8010557.51141539,-4413164.68198328,-8011803.91117801,-4413125.82220352,-8011765.15436495,-4411874.1195021,-8010518.90012868,-4411912.96206658
7107,Gran Concepción,8,8112,HUALPÉN,-8141377.29655489,-4409537.57658995,-8142621.68239438,-4409483.39248021,-8142567.67115737,-4408233.71164401,-8141323.42991529,-4408287.87178141
7108,Gran Concepción,8,8112,HUALPÉN,-8140132.88681818,-4409591.61543732,-8141377.29655489,-4409537.57658995,-8141323.42991529,-4408287.87178141,-8140079.16478697,-4408341.88672038
7109,Gran Concepción,8,8112,HUALPÉN,-8138888.45324805,-4409645.50901133,-8140132.88681818,-4409591.61543732,-8140079.16478697,-4408341.88672038,-8138834.87583618,-4408395.75644989
